,SEM_PRI,0,1,2,3,4,CASES
361,201349,25.0,0.0,0.0,0.0,0.0,25.0
362,201350,16.0,0.0,0.0,0.0,0.0,16.0
363,201351,8.0,0.0,0.0,0.0,0.0,8.0
364,201352,8.0,0.0,0.0,0.0,0.0,8.0
365,201401,26.0,0.0,0.0,0.0,0.0,26.0
366,201402,35.0,0.0,0.0,0.0,1.0,36.0
367,201403,27.0,0.0,0.0,0.0,0.0,27.0
368,201404,31.0,0.0,0.0,0.0,1.0,32.0
369,201405,23.0,0.0,0.0,0.0,0.0,23.0
370,201406,23.0,0.0,0.0,0.0,0.0,23.0
371,201407,21.0,2.0,0.0,0.0,1.0,24.0
372,201408,27.0,0.0,0.0,0.0,0.0,27.0
373,201409,11.0,0.0,0.0,0.0,0.0,11.0
374,201410,9.0,0.0,0.0,0.0,0.0,9.0
375,201411,21.0,0.0,0.0,0.0,0.0,21.0
376,201412,18.0,0.0,0.0,0.0,0.0,18.0
377,201413,16.0,0.0,0.0,0.0,0.0,16.0
378,201414,16.0,1.0,0.0,0.0,0.0,17.0
379,201415,20.0,0.0,0.0,0.0,1.0,21.0
380,201416,23.0,0.0,0.0,0.0,0.0,23.0
381,201417,20.0,0.0,0.0,0.0,0.0,20.0
382,201418,17.0,0.0,0.0,0.0,0.0,17.0
383,201419,10.0,0.0,0.0,0.0,0.0,10.0
384,201420,19.0,0.0,0.0,0.0,0.0,19.0
385,201421,17.0,0.0,0.0,0.0,0.0,17.0
386,201422,8.0,0.0,0.0,0.0,0.0,8.0
387,201423,19.0,0.0,0.0,0.0,0.0,19.0
388,201424,15.0,0.0,0.0,0.0,0.0,15.0
389,201425,8.0,0.0,0.0,0.0,0.0,8.0
390,201426,12.0,0.0,0.0,0.0,0.0,12.0
391,201427,6.0,0.0,0.0,0.0,0.0,6.0
392,201428,10.0,0.0,0.0,0.0,0.0,10.0
393,201429,11.0,0.0,0.0,0.0,1.0,12.0
394,201430,5.0,0.0,0.0,0.0,0.0,5.0
395,201431,8.0,0.0,0.0,0.0,0.0,8.0
396,201432,7.0,0.0,0.0,0.0,0.0,7.0
397,201433,14.0,0.0,0.0,0.0,0.0,14.0
398,201434,5.0,0.0,0.0,0.0,0.0,5.0
399,201435,9.0,0.0,0.0,0.0,0.0,9.0
400,201436,17.0,0.0,0.0,0.0,0.0,17.0
401,201437,17.0,0.0,0.0,0.0,0.0,17.0
402,201438,15.0,0.0,0.0,0.0,1.0,16.0
403,201439,24.0,0.0,0.0,0.0,1.0,25.0
404,201440,20.0,0.0,0.0,0.0,0.0,20.0
405,201441,14.0,0.0,0.0,0.0,0.0,14.0
406,201442,16.0,0.0,0.0,0.0,0.0,16.0
407,201443,10.0,0.0,0.0,0.0,0.0,10.0
408,201444,18.0,0.0,0.0,0.0,0.0,18.0
409,201445,9.0,1.0,0.0,0.0,0.0,10.0
410,201446,18.0,1.0,0.0,0.0,0.0,19.0
411,201447,15.0,0.0,0.0,0.0,0.0,15.0
412,201448,21.0,0.0,0.0,0.0,0.0,21.0
413,201449,11.0,0.0,0.0,0.0,0.0,11.0
414,201450,6.0,0.0,0.0,0.0,0.0,6.0
415,201451,9.0,0.0,0.0,0.0,1.0,10.0
416,201452,10.0,0.0,0.0,0.0,0.0,10.0
417,201453,10.0,0.0,0.0,0.0,0.0,10.0
418,201501,14.0,2.0,0.0,0.0,0.0,16.0
419,201502,8.0,0.0,0.0,0.0,0.0,8.0
420,201503,16.0,0.0,0.0,0.0,0.0,16.0
421,201504,17.0,0.0,0.0,0.0,0.0,17.0
422,201505,21.0,1.0,0.0,0.0,0.0,22.0
423,201506,18.0,0.0,0.0,0.0,1.0,19.0
424,201507,26.0,1.0,0.0,0.0,0.0,27.0
425,201508,46.0,1.0,0.0,0.0,0.0,47.0
426,201509,66.0,0.0,0.0,0.0,0.0,66.0
427,201510,80.0,3.0,0.0,0.0,0.0,83.0
428,201511,99.0,2.0,1.0,0.0,0.0,102.0
429,201512,110.0,3.0,0.0,0.0,0.0,113.0
430,201513,162.0,4.0,0.0,0.0,0.0,166.0
431,201514,258.0,3.0,0.0,0.0,1.0,262.0
432,201515,229.0,3.0,0.0,0.0,2.0,234.0
433,201516,346.0,3.0,0.0,0.0,0.0,349.0
434,201517,365.0,4.0,0.0,0.0,1.0,370.0
435,201518,295.0,8.0,0.0,0.0,0.0,303.0
436,201519,315.0,4.0,0.0,0.0,1.0,320.0
437,201520,262.0,2.0,0.0,0.0,0.0,264.0
438,201521,271.0,2.0,0.0,0.0,3.0,276.0
439,201522,269.0,5.0,0.0,0.0,2.0,276.0
440,201523,235.0,0.0,0.0,0.0,0.0,235.0
441,201524,232.0,0.0,0.0,0.0,0.0,232.0
442,201525,141.0,1.0,0.0,0.0,0.0,142.0
443,201526,131.0,3.0,0.0,0.0,0.0,134.0
444,201527,97.0,1.0,0.0,0.0,0.0,98.0
445,201528,101.0,1.0,0.0,0.0,0.0,102.0
446,201529,108.0,3.0,0.0,0.0,0.0,111.0
447,201530,83.0,2.0,0.0,0.0,0.0,85.0
448,201531,61.0,0.0,0.0,0.0,0.0,61.0
449,201532,68.0,1.0,0.0,0.0,0.0,69.0
450,201533,42.0,0.0,0.0,0.0,0.0,42.0
451,201534,46.0,0.0,0.0,0.0,0.0,46.0
452,201535,29.0,0.0,0.0,0.0,0.0,29.0
453,201536,24.0,0.0,0.0,0.0,0.0,24.0
454,201537,26.0,0.0,0.0,0.0,0.0,26.0
455,201538,20.0,0.0,0.0,0.0,0.0,20.0
456,201539,26.0,1.0,0.0,0.0,0.0,27.0
457,201540,12.0,0.0,0.0,0.0,0.0,12.0
458,201541,18.0,0.0,0.0,0.0,0.0,18.0
459,201542,22.0,0.0,0.0,0.0,0.0,22.0
460,201543,17.0,0.0,0.0,0.0,0.0,17.0
461,201544,30.0,0.0,0.0,0.0,0.0,30.0
462,201545,40.0,0.0,0.0,0.0,0.0,40.0
463,201546,40.0,0.0,0.0,0.0,0.0,40.0
464,201547,37.0,0.0,0.0,0.0,0.0,37.0
465,201548,61.0,0.0,0.0,0.0,0.0,61.0
466,201549,75.0,1.0,0.0,0.0,0.0,76.0
467,201550,64.0,0.0,0.0,0.0,0.0,64.0
468,201551,57.0,2.0,0.0,0.0,0.0,59.0
469,201552,68.0,0.0,0.0,0.0,0.0,68.0
470,201601,83.0,0.0,0.0,0.0,0.0,83.0
471,201602,55.0,0.0,0.0,0.0,1.0,56.0
472,201603,84.0,0.0,0.0,0.0,0.0,84.0
473,201604,60.0,0.0,0.0,0.0,0.0,60.0
